Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.terminology.ehdsi.json	20266	-	0	0	1	0	0	0	15	74	0	0	0	0	0	0	0	1	0	0	114	117	0	0	0	9	0	2
fsh-generated/resources/CodeSystem-edqm-all.json	1252501	123	0	0	2	0	0	0	155	771	0	0	2	0	0	0	0	11	0	0	2202	2056	0	0	0	102	0	40
fsh-generated/resources/CodeSystem-emdn.json	1286364	106	0	0	0	0	0	0	83	542	0	0	3	0	0	0	0	6	0	0	2896	2201	0	0	0	147	0	50
fsh-generated/resources/ValueSet-eHDSIActiveIngredient-8.1.0.json	695172	31	0	0	0	0	0	0	149	1	0	0	0	0	0	0	0	5	0	0	500	4324	0	0	0	31	0	2
fsh-generated/resources/ValueSet-eHDSIAdverseEventType-8.1.0.json	878	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	838	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIAllergenNoDrug-8.1.0.json	45468	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	42	1700	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIAllergyCertainty-8.1.0.json	987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	32	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSIAllergyStatus-8.1.0.json	944	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSIAnimalSpecies-8.1.0.json	1319	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	661	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIBloodGroup-8.1.0.json	1905	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	608	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSIBloodPressure-8.1.0.json	966	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	604	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSIBodySite-8.1.0.json	315568	13	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	251	27985	0	0	0	13	0	1
fsh-generated/resources/ValueSet-eHDSIBodySiteLaterality-8.1.0.json	1009	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	782	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIBodyStructureLocation-8.1.0.json	2237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	636	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSICertainty-8.1.0.json	1143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	30	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSICodeProb-8.1.0.json	1460	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1002	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSICountry-8.1.0.json	22685	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	1611	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSICriticality-8.1.0.json	984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSICurrentPregnancyStatus-8.1.0.json	1157	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	668	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIDisplayLabel-8.1.0.json	17497	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1599	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIDocumentCode-8.1.0.json	1310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	581	0	0	0	0	0	0
