URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.4.130",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/eHDSICriticality"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/eHDSIMedicalImagingReportType,ValueSet/eHDSILabCode,ValueSet/eHDSISection,ValueSet/eHDSIBloodPressure,ValueSet/eHDSIMedicalImagesType,ValueSet/eHDSILabStudyType,ValueSet/eHDSIDocumentCode,ValueSet/eHDSILaboratoryReportType,ValueSet/eHDSIPregnancyInformation"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/eHDSICurrentPregnancyStatus,ValueSet/eHDSIBloodGroup,ValueSet/eHDSIAdverseEventType,ValueSet/eHDSILabTechnique,ValueSet/eHDSIPresenceAbsence,ValueSet/eHDSICodeProb,ValueSet/eHDSIBodySite,ValueSet/eHDSIMicroorganism,ValueSet/eHDSIResolutionOutcome,ValueSet/eHDSIProcedure,ValueSet/eHDSIBodySiteLaterality,ValueSet/eHDSIStatusCode,ValueSet/eHDSIBodyStructureLocation,ValueSet/eHDSISocialHistory,ValueSet/eHDSIMorphologicAbnormality,ValueSet/eHDSILabSpecimenType,ValueSet/eHDSIAnimalSpecies,ValueSet/eHDSIOutcomeOfPregnancy,ValueSet/eHDSIVaccine,ValueSet/eHDSISeverity,ValueSet/eHDSIReactionAllergy,ValueSet/eHDSIAllergenNoDrug,ValueSet/eHDSIMedicalDevice"
http://terminology.hl7.org/CodeSystem/allergyintolerance-clinical,1.0.1,active,"2.16.840.1.113883.4.642.1.1373",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","ValueSet/eHDSIAllergyStatus"
http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,1.0.1,active,"2.16.840.1.113883.4.642.1.1371",AllergyIntoleranceVerificationStatus,AllergyIntolerance Verification Status,"The verification status to support or decline the clinical status of the allergy or intolerance.","ValueSet/eHDSIAllergyCertainty"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/eHDSICertainty"
http://terminology.hl7.org/CodeSystem/observation-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/eHDSIObservationCategory"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,1.0.1,active,"2.16.840.1.113883.4.642.1.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/eHDSIReferenceRangeMeaning"
http://terminology.hl7.org/CodeSystem/sex-parameter-for-clinical-use,2.0.0,active,"2.16.840.1.113883.4.642.4.2038",SexParameterForClinicalUseCS,Sex Parameter For Clinical Use,"A summary parameter that provides guidance on how a receiver should apply settings or reference ranges that are derived from observable information such as an organ inventory, recent hormone lab tests, genetic testing, menstrual status, obstetric history, etc..","ValueSet/eHDSIReferenceRangeAppliesTo"
http://terminology.hl7.org/CodeSystem/v3-AddressUse,3.0.1,active,"2.16.840.1.113883.5.1119",AddressUse,AddressUse,"Codes that provide guidance around the circumstances in which a given address should be used.","ValueSet/eHDSITelecomAddress"
